title     ,image     ,description     ,price     
Ноутбук Acer Aspire A315-58G-72KY Intel Core i7-1165G7 12GB DDR4 256GB SSD NVIDIA MX350 FHD Pure Silver,https://www.kivano.kg/images/product/121161/1684227052_46499800.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i7-1165G7; оперативная память 12GB DDR4; накопитель 256GB SSD; видеокарта NVIDIA MX350; без операционной системы",55830 сом
Ноутбук Asus TUF Gaming FA507RC-HN007W AMD Ryzen 7 6800H 24GB DDR5 512GB SSD NVMe NVIDIA RTX3050 FHD IPS Backlit Mecha Gray,https://www.kivano.kg/images/product/122953/1688018939_62061300.jpg,"15.6"" IPS 1920x1080~144Hz; процессор AMD Ryzen 7 6800H; оперативная память 24GB DDR5; накопитель 512GB SSD NVMe; видеокарта NVIDIA RTX3050; без операционной системы",89920 сом
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 12GB DDR4 256GB SSD FHD DOS Black,https://www.kivano.kg/images/product/118858/1679303391_66214000.jpg,"Операционная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1920x1080; оперативная память 12GB DDR4; накопитель SSD 256GB; DVDRW нет; вес от 1.9 кг",29610 сом
Ноутбук Acer Aspire A315-58G-72KY Intel Core i7-1165G7 20GB DDR4 256GB SSD NVIDIA MX350 FHD Pure Silver,https://www.kivano.kg/images/product/121162/1684227055_64128800.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i7-1165G7; оперативная память 20GB DDR4; накопитель 256GB SSD; видеокарта NVIDIA MX350; без операционной системы",57470 сом
Ноутбук Asus TUF Gaming FA507RC-HN007W AMD Ryzen 7 6800H 32GB DDR5 512GB SSD NVMe NVIDIA RTX3050 FHD IPS Backlit Mecha Gray,https://www.kivano.kg/images/product/122954/1688019033_62540900.jpg,"15.6"" IPS 1920x1080~144Hz; процессор AMD Ryzen 7 6800H; оперативная память 32GB DDR5; накопитель 512GB SSD NVMe; видеокарта NVIDIA RTX3050; без операционной системы",94460 сом
Ноутбук Acer Aspire A315-58G-72KY Intel Core i7-1165G7 8GB DDR4 512GB SSD NVIDIA MX350 FHD Pure Silver,https://www.kivano.kg/images/product/121163/1684227765_96433200.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i7-1165G7; оперативная память 8GB DDR4; накопитель 512GB SSD; видеокарта NVIDIA MX350; без операционной системы",56100 сом
Ноутбук HP Victus 15-FA1093DX Intel Core i5-13420H 32GB DDR4 256GB SSD NVIDIA RTX3050 FHD DOS Blue,https://www.kivano.kg/images/product/122955/1688019065_52731800.jpg,"15.6"" IPS 1920x1080~144Hz; процессор Intel Core i5-13420H; оперативная память 32GB DDR4; накопитель 256GB SSD; видеокарта NVIDIA RTX3050; операционная система DOS",88650 сом
Ноутбук Lenovo ThinkBook 15 GEN2 ITL Intel Core i3-1115G4 4GB DDR 256GB SSD NVMe Nvidia MX450 2GB FHD DOS Mineral Grey + сумка,https://www.kivano.kg/images/product/117068/1675857268_96371400.png,Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-1115G4; Разрешение экрана: 1920х1080 Full HD; Графический контроллер: Nvidia MX450; Объем оперативной памяти: 4 GB DDR4; Объем накопителя SSD: 256 GB; Вес: от 1.7 кг,41230 сом
Ноутбук Acer Aspire A315-58G-72KY Intel Core i7-1165G7 12GB DDR4 512GB SSD NVIDIA MX350 FHD Pure Silver,https://www.kivano.kg/images/product/121164/1684227773_93746600.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i7-1165G7; оперативная память 12GB DDR4; накопитель 512GB SSD; видеокарта NVIDIA MX350; без операционной системы",57200 сом
Ноутбук Asus TUF Gaming FA507RC-HN007W AMD Ryzen 7 6800H 48GB DDR5 512GB SSD NVMe NVIDIA RTX3050 FHD IPS Backlit Mecha Gray,https://www.kivano.kg/images/product/122956/1688019099_89563300.jpg,"15.6"" IPS 1920x1080~144Hz; процессор AMD Ryzen 7 6800H; оперативная память 48GB DDR5; накопитель 512GB SSD NVMe; видеокарта NVIDIA RTX3050; без операционной системы",99440 сом
